referencia,titulo,responsable_referencia,consumidores,observacion,ruta_original,sha256
"ENV-01","Dormitorio, muebles, bosque y casa","Terreno y Mapas","Elementos","Módulos y ambientación; muebles a cargo de Elementos","C:\Users\brank\Desktop\bocetos\mapa y terreno\ChatGPT Image 12 sept 2026, 03_48_04 a.m..png","BB59E56281652AE84C47F18AB918A934AF3566840AF2E1016D121CB944F29566"
"ENV-02","Terrenos, casas y tres layouts","Terreno y Mapas","Elementos","Biblioteca modular; layouts como ideas, no modos aprobados","C:\Users\brank\Desktop\bocetos\mapa y terreno\ChatGPT Image 12 sept 2026, 04_23_20 a.m. (2).png","277BE82BE88693642262D57E88F47D4C4E200E68B6FB4F3B2E8973D57EA170BE"
"ENV-03","Interiores en primera persona","Terreno y Mapas","Elementos; Humanos; UI","Dormitorio, cocina, altillo y living; cámara y agarres a validar","C:\Users\brank\Desktop\bocetos\mapa y terreno\ChatGPT Image 12 sept 2026, 05_21_31 a.m. (4).png","7FF63682D992D9D494EF366A174CCAE86BE63BF1B8170A3C274931D0FCF66D52"
"ENV-04","Exteriores en primera persona","Terreno y Mapas","Elementos; UI","Bosque, campamento, lago y cabaña; expansión por prioridad","C:\Users\brank\Desktop\bocetos\mapa y terreno\ChatGPT Image 12 sept 2026, 05_21_31 a.m. (5).png","6C4B18EFBEAE7C1C8172FB75FA66FD33ECA44BA1D1142AFE094944E552E73F7E"
"ENV-05","Lobby transitable con HUD","Terreno y Mapas","UI; Online; Elementos","Una escena 3D y una capa UI; mismo recurso duplicado en carpeta ui","C:\Users\brank\Desktop\bocetos\mapa y terreno\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (6).png","CC07034B6981E31B1B738B8202DA4C5B3FFD91ECC9260D7E43B2736D67831FCA"
"PRP-01","Objetos y accesorios básicos","Elementos","Humanos; Mosquitos; Terreno y Mapas","Herramientas y decoración; vestibles remitidos al dueño del personaje","C:\Users\brank\Desktop\bocetos\objetos\ChatGPT Image 12 sept 2026, 04_23_20 a.m. (1).png","5032B4B9ABB97CE4EFE67347AB2C7DFC37C13ACFB88B28ACBC2DD7928C14A225"
"PRP-02","Catálogo ampliado de muebles y entorno","Elementos","Terreno y Mapas; Mosquitos","Descomponer por dueño; nidos y defensas no prueban mecánicas aprobadas","C:\Users\brank\Desktop\bocetos\objetos\ChatGPT Image 12 sept 2026, 05_21_31 a.m. (3).png","14A271A5C6196832AB5E44A2FFE0C882F97B0271F77B913C9597E423DE1D06AB"
"PER-01","Vista general humanos y mosquitos","Humanos; Mosquitos","Diseño visual","Proporciones low-poly y ojos; separar especies","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 03_46_41 a.m..png","559C22C57A211F7AD90646E2041588F4E293A9BC79CE5F9A46B73347C1D02437"
"PER-02","Tres humanos y vistas","Humanos","Elementos","Diseño corporal y expresiones; roles escritos son referencia","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 04_23_21 a.m. (3).png","23C18DE0216B50D2A23C7C924E6453104F996C629FFD1DB33F67C44A098E4E01"
"PER-03","Facción de mosquitos y vistas","Mosquitos","Diseño visual","Descartar rostro humano erróneo; fijar escala y anatomía","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 04_23_21 a.m. (4).png","7BABF3D0EFCA4D1EABD99ADD8ECA896E8AD1EB4B54994725E939249A27E75D51"
"PER-04","Personalización humana básica","Humanos","Elementos; UI","Prendas y accesorios modulares; colores locales","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 04_23_21 a.m. (5).png","D8763A43B7DBB2053C20122FE4ACB99016BE55E4F19945422AB16014AE31C831"
"PER-05","Personalización mosquito básica","Mosquitos","UI","Variantes modulares; no inferir ataques de la cola dibujada","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 04_23_21 a.m. (6).png","37138A906C2D587BB6C1B9CA46291614BFFE879AF451079D82099B7E09E84960"
"PER-06","Personalización humana ampliada","Humanos","Elementos; UI","Pelo, barba, ropa, guantes; adaptar al pijama de UI-06","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 05_21_31 a.m. (1).png","0A55776231EC35BBE5CD7B4C370812D85AE18CCBFEE2EB9012EFA06494FEE975"
"PER-07","Personalización mosquito ampliada","Mosquitos","UI","Alas, ojos, abdomen, marcas y accesorios; fijar compatibilidad","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 05_21_31 a.m. (2).png","62CDE0CF78B3853E18E65172368E19B524E8925A2BFA2B662E7A9004F179F142"
"PER-08","Pantalla de personalización dual","UI","Humanos; Mosquitos; Elementos","Interacción/preview; fuentes 3D pertenecen a modeladores","C:\Users\brank\Desktop\bocetos\personajes\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (4).png","80C921E7BF7DBCEF1EEF7BFF785851F86B1F188B98034BFEF8A7D75C23E68CCE"
"UI-01","HUD y componentes generales","UI","Gameplay; Online","Estilo de componentes; no copiar objetivos, estadísticas ni crafting","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 05_21_31 a.m. (6).png","F7ED36027652E39A8667C2954BC21FBF21B9A923262A290C6A2A69D5D64BFBBE"
"UI-02","Menú principal anterior","UI","Presentación y Audio","Composición e ilustración; identidad final tomada de UI-06","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (1).png","7C0A1B6FA1506DCEE998B24C43C72D0C7C3A0A900461F456D9E460291D868765"
"UI-03","Configuración de partida anterior","UI","Gameplay; Online","Referencia visual; modos y cantidades no aprobados por la lámina","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (2).png","A15D2362A4B58A1606757049D0026433300E05375E05944911E189865AAB3E20"
"UI-04","Lobby online anterior","UI","Online; Terreno y Mapas","Listas/estados; 6v6 ilustrativo, usar capacidad real","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (3).png","51366503588D8242E0E398364A01E6577D1290B5F74A1E300C218816849CEC33"
"UI-05","Ajustes y accesibilidad","UI","Gameplay; Presentación y Audio; Online","Controles reales; opciones sujetas a capacidades implementadas","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (5).png","E42A5A7813647E6D58953A6C6AA57696E3FB6A82568FCEBBBE37897E28718D64"
"ENV-05","Lobby transitable con HUD (duplicado)","Terreno y Mapas","UI; Online; Elementos","Duplicado SHA256 exacto del archivo en mapa y terreno","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 05_39_07 a.m. (6).png","CC07034B6981E31B1B738B8202DA4C5B3FFD91ECC9260D7E43B2736D67831FCA"
"UI-06","Let Me Sleep: flujo completo en español","UI","Todos","Referencia principal propuesta de identidad, noche, pijama y flujo","C:\Users\brank\Desktop\bocetos\ui\ChatGPT Image 12 sept 2026, 06_01_41 p.m..png","339004A2861C123C329B94FEF5B899F2196F5FEB149A960E714E14AF959907D0"
